"subject"	"IAT1"	"IAT1_odd"	"IAT1_even"	"IAT1_block1"	"Liking_1"	"Expect_1"	"measureorder"	"Liking_2"	"Expect_2"	"measureorder2"	"USaversiveness"	"instructionclarity"	"instructionbelief"	"Group"	"Contingency"	"Cooccurrence"	"Csplus"	"presorder"	"measorder"	"memory1_response"	"Expect1_CSplus"	"Expect1_CSmin"	"Liking1_CSplus"	"Liking1_CSmin"
"74"	151	0.4561	0.2079	0.687	"compatibletest1"	0.0871013979554501	-0.00787053196390392	2	-0.0778319878855952	-0.916740892669522	2	4	9	8	23	2	2	1	1	2	"4 times followed by the sound, 4 times not followed"	-0.00787053196390392	-0.916740892669522	0.0871013979554501	-0.0778319878855952
"75"	156	0.7388	-0.8239	-0.8389	"incompatibletest1"	-2.15264883518469	0.381720800249346	2	1.44153611365574	-0.916740892669522	2	5	7	9	28	2	1	2	2	2	"8 times followed by the sound, 8 times not followed"	0.381720800249346	-0.916740892669522	-2.15264883518469	1.44153611365574
"76"	157	-0.2373	0.0813	-0.7105	"compatibletest1"	0.0871013979554501	-1.17664452860365	2	-0.0778319878855952	1.59433198725134	2	0	8	8	29	1	2	2	1	2	"4 times followed by the sound, once not followed"	1.59433198725134	-1.17664452860365	-0.0778319878855952	0.0871013979554501
"77"	158	0.0426	-0.0573	-0.2682	"incompatibletest1"	-2.15264883518469	0.381720800249346	2	-2.24835784723036	-0.916740892669522	2	5	8	7	30	1	2	2	2	2	"4 times followed by the sound, once not followed"	0.381720800249346	-0.916740892669522	-2.15264883518469	-2.24835784723036
"78"	160	-0.0392	0.1138	-0.0887	"incompatibletest1"	-2.15264883518469	0.771312132462596	2	2.09269387145917	-0.916740892669522	2	5	9	9	0	2	2	2	2	2	"4 times followed by the sound, 4 times not followed"	0.771312132462596	-0.916740892669522	-2.15264883518469	2.09269387145917
"79"	162	0.0576	-0.0197	-0.148	"incompatibletest1"	0.0871013979554501	-1.17664452860365	1	-0.0778319878855952	0.876882592988238	1	5	9	7	2	1	1	1	2	1	"8 times followed by the sound, twice not followed"	0.876882592988238	-1.17664452860365	-0.0778319878855952	0.0871013979554501
"80"	166	0.8034	-0.8684	-0.7224	"incompatibletest1"	-0.136873625358564	0.381720800249346	1	-0.294884573820072	1.23560729011979	1	4	9	9	6	1	2	1	2	1	"4 times followed by the sound, once not followed"	1.23560729011979	0.381720800249346	-0.294884573820072	-0.136873625358564
"81"	173	-0.8124	-0.6951	-0.9086	"compatibletest1"	0.0871013979554501	0.771312132462596	1	-1.16309491755798	1.59433198725134	1	3	9	9	13	1	2	2	1	1	"4 times followed by the sound, once not followed"	1.59433198725134	0.771312132462596	-1.16309491755798	0.0871013979554501
"82"	176	0.0789	0.0485	-0.3754	"incompatibletest1"	0.0871013979554501	0.381720800249346	1	-0.0778319878855952	-0.916740892669522	1	5	7	9	16	2	2	2	2	1	"4 times followed by the sound, 4 times not followed"	0.381720800249346	-0.916740892669522	0.0871013979554501	-0.0778319878855952
"83"	178	0.5044	-0.5207	-0.5447	"incompatibletest1"	0.0871013979554501	-1.17664452860365	2	-0.0778319878855952	1.59433198725134	2	0	9	9	18	1	1	1	2	2	"8 times followed by the sound, twice not followed"	1.59433198725134	-1.17664452860365	-0.0778319878855952	0.0871013979554501
"84"	180	-0.0973	0.151	-0.0254	"incompatibletest1"	0.983001491211508	-1.17664452860365	2	0.573325769917835	-0.916740892669522	2	4	8	8	20	2	1	1	2	2	"8 times followed by the sound, 8 times not followed"	-0.916740892669522	-1.17664452860365	0.573325769917835	0.983001491211508
"85"	184	0.0393	-0.0577	-0.0063	"incompatibletest1"	0.759026467897493	-1.17664452860365	2	0.573325769917835	0.518157895856686	2	4	9	8	24	2	2	1	2	2	"4 times followed by the sound, 4 times not followed"	0.518157895856686	-1.17664452860365	0.573325769917835	0.759026467897493
"86"	185	-0.0654	-0.2569	0.1823	"compatibletest1"	2.32685163109559	-1.17664452860365	2	-1.81425267536141	0.518157895856686	2	5	9	9	25	1	1	2	1	2	"8 times followed by the sound, twice not followed"	0.518157895856686	-1.17664452860365	-1.81425267536141	2.32685163109559
"87"	187	-0.2996	-0.3804	-0.2464	"compatibletest1"	0.0871013979554501	-1.17664452860365	2	-0.728989745689025	0.876882592988238	2	3	9	7	27	2	1	2	1	2	"8 times followed by the sound, 8 times not followed"	0.876882592988238	-1.17664452860365	-0.728989745689025	0.0871013979554501
"88"	189	0.1848	-0.0518	0.6179	"compatibletest1"	-1.48072376524265	-1.17664452860365	2	-0.511937159754549	1.59433198725134	2	3	2	3	29	1	2	2	1	2	"4 times followed by the sound, once not followed"	1.59433198725134	-1.17664452860365	-0.511937159754549	-1.48072376524265
"89"	190	-0.0147	0.2045	-0.163	"incompatibletest1"	0.0871013979554501	0.381720800249346	2	-0.0778319878855952	0.518157895856686	2	0	7	7	30	1	2	2	2	2	"4 times followed by the sound, once not followed"	0.381720800249346	0.518157895856686	0.0871013979554501	-0.0778319878855952
