date;time;group;subject;session;build;memory1_2_response;memory1_latency;memory2_2_response;memory2_latency
27/08/20;09:34:14;50811729;739;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;14490;Always followed by the SECOND sound;3960
28/08/20;01:35:17;499649991;737;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;9052;Always followed by the SECOND sound;3564
27/08/20;14:35:48;573023362;743;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;10290;Always followed by the PLEASANT sound;2840
27/08/20;14:41:44;299344150;761;1;6.2.1;8 times followed by the FIRST sound, twice not followed by any sound;3997;Always followed by the SECOND sound;2761
27/08/20;14:46:36;344733172;759;1;6.2.1;8 times followed by the UNPLEASANT sound, twice not followed by any sound;5259;Always followed by the PLEASANT sound;3654
27/08/20;14:47:25;938597136;772;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;11065;Always followed by the SECOND sound;3241
27/08/20;09:50:31;445942980;780;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;7153;Always followed by the SECOND sound;1877
27/08/20;14:51:25;588162660;769;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;10847;Always followed by the SECOND sound;5021
27/08/20;14:54:57;31690336;774;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;5057;Always followed by the PLEASANT sound;3224
27/08/20;14:55:04;631889793;778;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;11434;Always followed by the SECOND sound;13995
27/08/20;14:55:44;28029912;773;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;16466;Always followed by the PLEASANT sound;5328
27/08/20;14:57:15;587040232;777;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;8577;Always followed by the SECOND sound;13395
