date;time;group;subject;session;build;memory1_response;memory1_latency;memory2_response;memory2_latency
27/08/20;13:55:56;219976690;644;1;6.2.2;Twice followed by the FIRST sound, 8 times not followed by any sound;14859;Always followed by the SECOND sound;13795
27/08/20;08:56:42;447367576;654;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;7100;Always followed by the PLEASANT sound;4813
27/08/20;13:57:24;107618692;641;1;6.2.2;I don't remember;17442;I don't remember;6590
27/08/20;13:57:15;973530159;591;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;15089;Always followed by the PLEASANT sound;24758
27/08/20;13:57:46;611382704;640;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;12305;Always followed by the PLEASANT sound;4218
27/08/20;14:00:28;197192135;680;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;12234;Always followed by the PLEASANT sound;4185
27/08/20;14:01:01;607845591;701;1;6.2.1;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8254;Always followed by the PLEASANT sound;3949
27/08/20;13:57:07;671306707;593;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;17760;Always followed by the SECOND sound;6735
27/08/20;13:59:40;159359979;625;1;6.2.1;8 times followed by the FIRST sound, twice not followed by any sound;17359;8 times followed by the SECOND sound, twice not followed by any sound;11240
27/08/20;14:02:13;610024073;637;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;12880;Always followed by the PLEASANT sound;14106
27/08/20;14:01:16;562735566;693;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8180;Always followed by the PLEASANT sound;4982
27/08/20;07:58:24;551589010;675;1;6.2.2;Twice followed by the FIRST sound, 8 times not followed by any sound;29000;Always followed by the SECOND sound;6884
27/08/20;13:58:09;573314140;632;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;24615;Always followed by the PLEASANT sound;14602
27/08/20;14:02:21;663371458;659;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;11656;Always followed by the SECOND sound;4238
27/08/20;14:02:29;893553771;417;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;19547;Always followed by the SECOND sound;8475
27/08/20;14:06:18;86596999;711;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8024;Always followed by the PLEASANT sound;4349
27/08/20;13:59:58;185619185;490;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;60835;Always followed by the SECOND sound;11907
27/08/20;14:05:37;121241534;707;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;15970;Always followed by the SECOND sound;5943
27/08/20;14:08:21;383640331;704;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;26183;Never followed by the PLEASANT sound;34182
27/08/20;14:08:51;109503022;379;1;6.2.2;9 times followed by the FIRST sound, once not followed by any sound;17226;8 times followed by the SECOND sound, twice not followed by any sound;13726
27/08/20;09:11:06;617751688;525;1;6.2.1;8 times followed by the UNPLEASANT sound, twice not followed by any sound;12139;Always followed by the PLEASANT sound;4502
27/08/20;14:09:45;472245598;713;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;66786;Always followed by the SECOND sound;17262
27/08/20;14:23:31;718705717;726;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8781;Always followed by the PLEASANT sound;4537
27/08/20;14:24:26;333960643;736;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;6777;Always followed by the PLEASANT sound;3825
27/08/20;09:22:51;50811729;739;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;20673;Always followed by the SECOND sound;7272
28/08/20;01:23:37;499649991;737;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;14888;Always followed by the SECOND sound;6101
27/08/20;14:29:05;573023362;743;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;11779;Always followed by the PLEASANT sound;4995
27/08/20;14:35:53;299344150;761;1;6.2.1;8 times followed by the FIRST sound, twice not followed by any sound;10261;Always followed by the SECOND sound;3420
